,genre_ids
336,"['Science Fiction', 'Horror', 'Thriller']"
337,"['Action', 'Drama', 'Adventure']"
338,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
339,"['Action', 'Comedy']"
340,['Drama']
341,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
342,"['Action', 'Comedy']"
343,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']"
344,"['History', 'War', 'Romance']"
345,"['Thriller', 'Action']"
346,"['Adventure', 'Action', 'Science Fiction']"
347,"['Drama', 'Romance']"
348,"['Drama', 'Crime']"
349,"['Animation', 'Comedy', 'Family', 'Fantasy']"
350,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
351,"['Horror', 'Thriller']"
352,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']"
353,['Horror']
354,"['Science Fiction', 'Adventure', 'Thriller']"
355,"['Drama', 'Romance']"
356,"['Horror', 'Crime', 'Mystery']"
357,['Western']
358,"['Horror', 'Thriller']"
359,['Drama']
360,"['Mystery', 'Thriller', 'Drama']"
361,"['Animation', 'Comedy', 'Family', 'Fantasy']"
362,"['Horror', 'Thriller']"
363,"['Thriller', 'Drama', 'Adventure']"
364,"['Romance', 'Fantasy', 'Family', 'Drama']"
365,"['Crime', 'Drama', 'Comedy']"
366,"['Comedy', 'Romance']"
367,"['Science Fiction', 'Action']"
368,['Fantasy']
369,"['Adventure', 'Action', 'Science Fiction']"
370,"['Action', 'Adventure', 'Comedy']"
371,"['Animation', 'Fantasy', 'Action', 'Romance', 'Family']"
372,"['Horror', 'Mystery', 'Thriller']"
373,"['Romance', 'Drama', 'Comedy']"
374,"['Horror', 'Crime', 'Mystery']"
375,"['Action', 'Thriller', 'Crime']"
376,"['Drama', 'Romance']"
377,"['Thriller', 'Action', 'Horror']"
378,"['Western', 'Thriller', 'Action']"
379,"['Drama', 'Animation', 'Family']"
380,"['Action', 'Adventure', 'Science Fiction']"
381,"['Thriller', 'Action', 'Horror']"
382,"['Western', 'Drama', 'Adventure']"
383,"['Western', 'Thriller', 'Action']"
384,"['Adventure', 'Animation', 'Comedy', 'Family']"
385,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
386,"['Animation', 'Family', 'Adventure', 'Fantasy']"
387,"['Drama', 'Music', 'Family']"
388,"['Family', 'Fantasy', 'Romance']"
389,"['Animation', 'Comedy', 'Family']"
390,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']"
391,"['Drama', 'Romance']"
392,"['Drama', 'Romance']"
393,"['Action', 'Adventure', 'Science Fiction']"
394,"['Drama', 'Comedy']"
395,"['Drama', 'Fantasy', 'Romance']"
396,"['Horror', 'Thriller']"
397,"['Crime', 'Action', 'Thriller']"
398,['Drama']
399,"['Drama', 'Action']"
400,"['Action', 'Horror', 'Comedy', 'Thriller']"
401,"['Thriller', 'Action', 'Drama', 'Science Fiction']"
402,"['Music', 'Comedy', 'Action']"
403,"['Animation', 'Family', 'Adventure', 'Comedy']"
404,"['Action', 'Comedy', 'Adventure']"
405,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
406,"['Animation', 'Comedy', 'Action', 'Science Fiction']"
407,"['Horror', 'Mystery', 'Thriller']"
408,['Horror']
409,"['Action', 'Adventure', 'Fantasy']"
410,"['Romance', 'Drama', 'Comedy']"
411,"['Fantasy', 'Action', 'Adventure']"
412,"['Adventure', 'Fantasy', 'Action']"
413,['Action']
414,"['Action', 'Science Fiction']"
415,"['Adventure', 'Animation', 'Comedy', 'Family']"
416,"['Adventure', 'Action', 'Science Fiction']"
417,"['Action', 'Adventure', 'Fantasy']"
418,"['Crime', 'Action', 'Thriller']"
419,"['Horror', 'Science Fiction']"
420,"['Action', 'Adventure', 'Science Fiction', 'Drama']"
421,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
422,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']"
423,"['Horror', 'Thriller']"
424,"['Action', 'Thriller', 'Crime']"
425,"['Animation', 'Family', 'Adventure', 'Fantasy']"
426,['Drama']
427,"['Horror', 'Action']"
428,"['Adventure', 'History', 'War', 'Action']"
429,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']"
430,"['Crime', 'Action', 'Adventure', 'Thriller']"
431,"['Drama', 'Crime', 'Thriller']"
432,"['Crime', 'Drama', 'Thriller']"
433,"['History', 'Drama', 'War']"
434,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']"
435,"['Drama', 'History', 'War']"
436,"['Animation', 'Family']"
437,"['Romance', 'Comedy']"
438,"['Action', 'Adventure', 'Comedy']"
439,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
440,"['Animation', 'Comedy', 'Action', 'Science Fiction']"
441,"['Horror', 'Mystery', 'Thriller']"
442,['Horror']
443,"['Action', 'Adventure', 'Fantasy']"
444,"['Romance', 'Drama', 'Comedy']"
445,"['Comedy', 'Horror', 'Fantasy']"
446,"['Fantasy', 'Comedy']"
447,"['Animation', 'Family', 'Fantasy', 'Adventure']"
448,"['Fantasy', 'Action', 'Adventure']"
449,"['Romance', 'Drama']"
450,"['Action', 'Science Fiction', 'Adventure']"
451,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']"
452,"['Drama', 'War', 'History']"
453,"['Action', 'Adventure', 'Fantasy']"
454,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']"
455,"['Adventure', 'Action', 'Drama']"
456,"['Comedy', 'Drama']"
457,"['Crime', 'Action', 'Adventure', 'Thriller']"
458,"['Science Fiction', 'Thriller', 'Horror']"
459,['Horror']
460,"['Adventure', 'Comedy', 'Fantasy']"
461,"['Science Fiction', 'Action']"
462,"['Action', 'Adventure', 'Fantasy']"
463,"['Adventure', 'Action', 'Fantasy']"
464,"['Drama', 'Action']"
465,"['Horror', 'Thriller']"
466,"['Action', 'Adventure', 'Science Fiction']"
467,"['Drama', 'Comedy', 'Romance']"
468,"['Drama', 'Thriller', 'Horror']"
469,"['Comedy', 'Drama', 'Romance']"
470,"['Science Fiction', 'Thriller', 'Horror']"
471,"['Animation', 'Adventure', 'Family', 'Comedy', 'Music']"
472,"['Horror', 'Thriller']"
473,"['Drama', 'Romance']"
474,"['War', 'Action', 'Thriller']"
475,"['Action', 'Adventure', 'Fantasy']"
476,"['Drama', 'Romance']"
477,"['Animation', 'Comedy', 'Family']"
478,"['Drama', 'Family', 'Comedy']"
479,"['Action', 'Fantasy', 'Comedy']"
480,"['Action', 'Drama']"
481,"['Animation', 'Drama', 'Comedy', 'Science Fiction']"
482,"['Adventure', 'Animation', 'Comedy', 'Fantasy']"
483,"['Action', 'Adventure', 'Science Fiction']"
484,"['Drama', 'History', 'Crime']"
485,"['Drama', 'Music', 'Romance']"
486,"['Animation', 'Crime', 'Mystery', 'Action']"
487,"['Action', 'Adventure', 'Fantasy']"
488,"['Thriller', 'Drama', 'Romance']"
489,"['Action', 'Comedy', 'Horror', 'Thriller']"
490,"['Comedy', 'Science Fiction']"
491,"['Horror', 'Mystery', 'Thriller']"
492,"['Thriller', 'Crime']"
493,"['Horror', 'Thriller']"
494,"['Action', 'Thriller']"
495,"['Animation', 'Family', 'Comedy']"
496,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
497,"['Action', 'Adventure', 'Comedy']"
498,['Horror']
499,"['Action', 'Thriller']"
500,"['Fantasy', 'Action', 'Comedy']"
501,"['Science Fiction', 'Action']"
502,"['Action', 'Adventure', 'Science Fiction']"
503,"['Adventure', 'Comedy', 'Fantasy']"
504,['Drama']
505,"['Science Fiction', 'Action']"
506,"['Action', 'Drama', 'Thriller']"
507,"['Action', 'Thriller', 'Science Fiction']"
508,"['Action', 'Adventure', 'Fantasy']"
509,"['Animation', 'Crime', 'Mystery', 'Action']"
510,"['Adventure', 'Action', 'Fantasy']"
511,"['Drama', 'Action']"
512,"['Action', 'Adventure', 'Science Fiction']"
513,"['Drama', 'Comedy', 'Romance']"
514,"['Drama', 'Thriller', 'Horror']"
515,"['Horror', 'Thriller']"
516,"['Animation', 'Comedy', 'Adventure', 'Family']"
517,"['Fantasy', 'Adventure', 'Animation', 'Family']"
518,"['Fantasy', 'Action', 'Horror']"
519,"['Horror', 'Thriller']"
520,['Comedy']
