,adult,genre_ids,id,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
8049,False,['Comedy'],481031,en,Sexy Movie,26.576,Sexy Movie,4.9,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8050,False,"['Action', 'Fantasy']",547016,en,The Old Guard,31.847,The Old Guard,7.147,4056,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8051,False,"['Horror', 'Fantasy', 'Drama']",517302,fi,Pahanhautoja,27.355,Hatching,6.257,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8052,False,"['Drama', 'Crime']",9672,en,Infamous,28.086,Infamous,6.464,192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8053,False,"['Science Fiction', 'Thriller', 'Romance']",38050,en,The Adjustment Bureau,35.774,The Adjustment Bureau,6.752,4417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8054,False,"['Science Fiction', 'Horror']",125490,en,Antiviral,30.836,Antiviral,5.963,375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8055,False,"['Thriller', 'Mystery']",80184,es,La cara oculta,27.336,The Hidden Face,7.308,1011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8056,False,"['Drama', 'Action', 'Comedy', 'Crime']",208869,en,Plastic,33.837,Plastic,6.0,187,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8057,False,"['Comedy', 'Drama']",652962,en,Half Brothers,22.095,Half Brothers,7.442,198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8058,False,"['Family', 'Mystery', 'Animation', 'Comedy', 'Action', 'Fantasy']",16390,en,Scooby-Doo! and the Samurai Sword,22.834,Scooby-Doo! and the Samurai Sword,7.7,258,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8059,False,['Horror'],974264,en,The Ones You Didn’t Burn,18.317,The Ones You Didn’t Burn,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
